SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
AAS,3001,Contmp Persp on Asian America,17,17,12,4,0,0,1,0,0,0,0,3.75,1.0,0.0,0.75,0.25,0.0,0.0,0.0
AAS,3503,"Asian Am Id, Families & Comm",10,10,6,4,0,0,0,0,0,0,0,3.6,1.0,0.0,0.6,0.4,0.0,0.0,0.0
AAS,3601W,War & Empire: Asian Amer Persp,11,15,6,2,1,0,1,0,0,1,4,3.2,0.6666666666666666,0.26666666666666666,0.6,0.2,0.1,0.0,0.1
ABUS,3051,Career Skills in Pro Envrnmt,80,83,70,7,0,0,2,0,0,1,3,3.858974358974359,0.9518072289156626,0.03614457831325301,0.8974358974358975,0.08974358974358974,0.0,0.0,0.01282051282051282
ABUS,3301,Intro to Quality Management,50,54,25,14,7,0,0,0,0,4,4,3.12,0.8518518518518519,0.07407407407407407,0.5,0.28,0.14,0.0,0.08
ABUS,3510,Virtual Global Communication,24,25,15,4,2,0,0,0,0,3,1,3.1666666666666665,0.84,0.04,0.625,0.16666666666666666,0.08333333333333333,0.0,0.125
ABUS,4012,DecisionMaking&ProblemSolving,29,32,19,7,2,1,0,0,0,0,3,3.5172413793103448,0.875,0.09375,0.6551724137931034,0.2413793103448276,0.06896551724137931,0.034482758620689655,0.0
ABUS,4013W,"Law, Ethics, &  Risk for Mgrs",70,70,48,8,6,4,0,0,0,4,0,3.3142857142857145,0.8857142857142857,0.0,0.6857142857142857,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.05714285714285714
ABUS,4022W,Management in Organizations,102,104,69,19,4,1,0,0,0,9,2,3.3529411764705883,0.8846153846153846,0.019230769230769232,0.6764705882352942,0.18627450980392157,0.0392156862745098,0.00980392156862745,0.08823529411764706
ABUS,4023W,Communicating for Results,81,86,54,16,5,0,0,0,0,6,5,3.382716049382716,0.872093023255814,0.05813953488372093,0.6666666666666666,0.19753086419753085,0.06172839506172839,0.0,0.07407407407407407
ABUS,4041,Dynamics of Leadership,63,65,34,23,4,2,0,0,0,0,2,3.4126984126984126,0.9384615384615385,0.03076923076923077,0.5396825396825397,0.36507936507936506,0.06349206349206349,0.031746031746031744,0.0
ABUS,4043,Project Management in Practice,26,28,15,5,2,1,0,0,0,3,2,3.076923076923077,0.7857142857142857,0.07142857142857142,0.5769230769230769,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.11538461538461539
ABUS,4101,Accounting&Finance for Mgrs,32,32,9,12,6,0,0,0,0,5,0,2.625,0.84375,0.0,0.28125,0.375,0.1875,0.0,0.15625
ABUS,4104,Management and Human Resource,35,35,26,6,2,0,0,0,0,1,0,3.6,0.9714285714285714,0.0,0.7428571428571429,0.17142857142857143,0.05714285714285714,0.0,0.02857142857142857
ABUS,4151,Innovation for Leaders & Orgs.,57,60,26,22,7,1,0,0,0,1,3,3.245614035087719,0.9166666666666666,0.05,0.45614035087719296,0.38596491228070173,0.12280701754385964,0.017543859649122806,0.017543859649122806
