TERM,TERM_DESCR,INSTITUTION,SUBJECT,CATALOG_NBR,CLASS_SECTION,COMPONENT_MAIN,DESCR,INSTRUCTOR NAME,UM_JOBCODE_GROUP,JOBCODE,JOBCODE_DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT
1189,Fall 2018,UMNTC,AAS,3001,001,LEC,Contmp Persp on Asian America,"Fajardo,Kale Bantigue",FA,9402,Associate Professor,17,17,12,4,,,1,,,,
1189,Fall 2018,UMNTC,AAS,3503,001,LEC,"Asian Am Id, Families & Comm","Swartz,Teresa Toguchi",FA,9402,Associate Professor,10,10,6,4,,,,,,,
1189,Fall 2018,UMNTC,AAS,3601W,001,LEC,War & Empire: Asian Amer Persp,"Onishi,Yuichiro",FA,9402,Associate Professor,11,15,6,2,1,,1,,,1,4
1189,Fall 2018,UMNTC,ABUS,3051,302,LEC,Career Skills in Pro Envrnmt,"Kessler,Jeannine Ann",AP,9745S2,Education Program Spec 2,33,35,30,2,,,1,,,,2
1189,Fall 2018,UMNTC,ABUS,3051,101,LEC,Career Skills in Pro Envrnmt,"Klempka,Carol",AP,9754,Teaching Specialist,15,15,13,2,,,,,,,
1189,Fall 2018,UMNTC,ABUS,3051,301,LEC,Career Skills in Pro Envrnmt,"O'Fallon,Stacy Ann Marr",AP,9754,Teaching Specialist,32,33,27,3,,,1,,,1,1
1189,Fall 2018,UMNTC,ABUS,3301,301,LEC,Intro to Quality Management,"Martens,Scott L",AP,9770I,Senior Lecturer,30,32,13,10,4,,,,,3,2
1189,Fall 2018,UMNTC,ABUS,3301,302,LEC,Intro to Quality Management,"Martens,Scott L",AP,9770I,Senior Lecturer,20,22,12,4,3,,,,,1,2
1189,Fall 2018,UMNTC,ABUS,3510,301,LEC,Virtual Global Communication,"Lowry,Ann E.",AP,9753,Lecturer,24,25,15,4,2,,,,,3,1
1189,Fall 2018,UMNTC,ABUS,4012,301,LEC,DecisionMaking&ProblemSolving,"McNamara,Dan Eric",AP,9770,Senior Lecturer,29,32,19,7,2,1,,,,,3
1189,Fall 2018,UMNTC,ABUS,4013W,301,LEC,"Law, Ethics, &  Risk for Mgrs","Mackay,Deborah",AP,9753,Lecturer,27,27,21,3,2,,,,,1,
1189,Fall 2018,UMNTC,ABUS,4013W,302,LEC,"Law, Ethics, &  Risk for Mgrs","Essien,Michael Anietie",AP,9754,Teaching Specialist,22,22,10,4,3,2,,,,3,
1189,Fall 2018,UMNTC,ABUS,4013W,303,LEC,"Law, Ethics, &  Risk for Mgrs","Bethel,Charles Eugene",AP,9754,Teaching Specialist,21,21,17,1,1,2,,,,,
1189,Fall 2018,UMNTC,ABUS,4022W,301,LEC,Management in Organizations,"Goodell,Bradley D",AP,9754,Teaching Specialist,29,29,21,5,1,,,,,2,
1189,Fall 2018,UMNTC,ABUS,4022W,302,LEC,Management in Organizations,"Goodell,Bradley D",AP,9754,Teaching Specialist,27,28,20,3,2,,,,,2,1
1189,Fall 2018,UMNTC,ABUS,4022W,303,LEC,Management in Organizations,"Goodell,Bradley D",AP,9754,Teaching Specialist,29,29,18,8,1,1,,,,1,
1189,Fall 2018,UMNTC,ABUS,4022W,304,LEC,Management in Organizations,"Simons,Brian",AP,9754,Teaching Specialist,17,18,10,3,,,,,,4,1
1189,Fall 2018,UMNTC,ABUS,4023W,303,LEC,Communicating for Results,"Lowry,Ann E.",AP,9753,Lecturer,25,28,18,3,3,,,,,1,3
1189,Fall 2018,UMNTC,ABUS,4023W,301,LEC,Communicating for Results,"Goodell,Bradley D",AP,9754,Teaching Specialist,28,29,18,7,,,,,,3,1
1189,Fall 2018,UMNTC,ABUS,4023W,302,LEC,Communicating for Results,"Goodell,Bradley D",AP,9754,Teaching Specialist,28,29,18,6,2,,,,,2,1
1189,Fall 2018,UMNTC,ABUS,4041,301,LEC,Dynamics of Leadership,"Kaiser,David",AP,9753,Lecturer,33,33,23,6,2,2,,,,,
1189,Fall 2018,UMNTC,ABUS,4041,302,LEC,Dynamics of Leadership,"Kaiser,David",AP,9753,Lecturer,30,32,11,17,2,,,,,,2
1189,Fall 2018,UMNTC,ABUS,4043,301,LEC,Project Management in Practice,"Bengtson,William Paul",AP,9754,Teaching Specialist,26,28,15,5,2,1,,,,3,2
1189,Fall 2018,UMNTC,ABUS,4101,301,LEC,Accounting&Finance for Mgrs,"Flanders,Gordon R",AP,9753,Lecturer,32,32,9,12,6,,,,,5,
1189,Fall 2018,UMNTC,ABUS,4104,301,LEC,Management and Human Resource,"Kilpatrick,Margaret Eaton",AP,9754,Teaching Specialist,35,35,26,6,2,,,,,1,
1189,Fall 2018,UMNTC,ABUS,4151,301,LEC,Innovation for Leaders & Orgs.,"Flanders,Gordon R",AP,9753,Lecturer,23,24,10,8,3,1,,,,1,1
1189,Fall 2018,UMNTC,ABUS,4151,302,LEC,Innovation for Leaders & Orgs.,"Flanders,Gordon R",AP,9753,Lecturer,17,18,8,7,2,,,,,,1
1189,Fall 2018,UMNTC,ABUS,4151,302,LEC,Innovation for Leaders & Orgs.,"Grahek,Drew Melville",AP,9754,Teaching Specialist,17,18,8,7,2,,,,,,1
1189,Fall 2018,UMNTC,ABUS,4217,301,LEC,Real Estate Process & Tools,"Tableporter,Jody",AP,9754,Teaching Specialist,26,28,5,15,6,,,,,,2
1189,Fall 2018,UMNTC,ABUS,4501,301,LEC,Small Bsns Building & Running,"Kaufmann,Geoffrey Laing",AP,9753,Lecturer,15,15,13,2,,,,,,,
1189,Fall 2018,UMNTC,ABUS,4515,301,LEC,Strat/Mgmt Sustainable Future,"Hickle,Garth Thomas",AP,9770,Senior Lecturer,21,24,12,5,2,1,,,,1,3
1189,Fall 2018,UMNTC,ABUS,4571W,301,LEC,Grant Writ Health & Nonprofit,"Redelfs,Ann Ellen",AP,9754,Teaching Specialist,13,17,5,5,2,,,,,1,4
1189,Fall 2018,UMNTC,ABUS,4701,301,LEC,Introduction to Marketing,"Rindels,Kay Maureen Suneson",AP,9754,Teaching Specialist,22,22,17,5,,,,,,,
1189,Fall 2018,UMNTC,ABUS,4702,301,LEC,Applied Digital Marketing,"Neidt,Jeff",AP,9754,Teaching Specialist,20,21,8,8,4,,,,,,1
1189,Fall 2018,UMNTC,ABUS,4705,301,LEC,Leadership & Mgmt Prof Pract,"Lee,David E",AA,9353D2,Animal Care Director 2.,11,13,7,2,2,,,,,,2
1189,Fall 2018,UMNTC,ACCT,2050,010,LEC,Intr Financial Rptg,"Kramer,Jack",AP,9770,Senior Lecturer,62,65,20,23,18,1,,,,,3
1189,Fall 2018,UMNTC,ACCT,2050,005,LEC,Intr Financial Rptg,"White,Paul Andrew",AP,9770,Senior Lecturer,89,90,33,44,12,,,,,,1
1189,Fall 2018,UMNTC,ACCT,2050,006,LEC,Intr Financial Rptg,"Poch,Kendell Kaye",AP,9770,Senior Lecturer,114,115,55,48,11,,,,,,1
1189,Fall 2018,UMNTC,ACCT,2050,007,LEC,Intr Financial Rptg,"Poch,Kendell Kaye",AP,9770,Senior Lecturer,80,81,43,32,5,,,,,,1
1189,Fall 2018,UMNTC,ACCT,2050,009,LEC,Intr Financial Rptg,"Poch,Kendell Kaye",AP,9770,Senior Lecturer,121,122,48,62,9,1,,,,1,1
1189,Fall 2018,UMNTC,ACCT,2050,003,LEC,Intr Financial Rptg,"Pugliese,Samantha",AP,9770,Senior Lecturer,61,66,24,22,10,2,,,,3,5
1189,Fall 2018,UMNTC,ACCT,2050,008,LEC,Intr Financial Rptg,"Pugliese,Samantha",AP,9770,Senior Lecturer,57,66,28,22,4,1,,,,2,9
1189,Fall 2018,UMNTC,ACCT,2050,001,LEC,Intr Financial Rptg,"Batina,Thomas John",AP,9770,Senior Lecturer,47,47,17,18,10,1,,,,1,
1189,Fall 2018,UMNTC,ACCT,2050,002,LEC,Intr Financial Rptg,"Zhang,Gaoqing",FA,9403,Assistant Professor,57,60,25,29,1,,,,,2,3
1189,Fall 2018,UMNTC,ACCT,2050,004,LEC,Intr Financial Rptg,"Zhang,Gaoqing",FA,9403,Assistant Professor,49,49,28,20,,,,,,1,
1189,Fall 2018,UMNTC,ACCT,2050H,001,LEC,Honors:  Intr Financial Rptg,"White,Paul Andrew",AP,9770,Senior Lecturer,25,26,19,6,,,,,,,1
1189,Fall 2018,UMNTC,ACCT,3001,020,LEC,Intro Mgmt Acct,"Kirscht,Carrie Lynn",AP,9770I,Senior Lecturer,41,45,13,17,11,,,,,,4
1189,Fall 2018,UMNTC,ACCT,3001,002,LEC,Intro Mgmt Acct,"Patel,Ash",AP,9770I,Senior Lecturer,63,72,8,23,18,11,,,,3,9
1189,Fall 2018,UMNTC,ACCT,3001,003,LEC,Intro Mgmt Acct,"Patel,Ash",AP,9770I,Senior Lecturer,42,47,16,14,8,3,,,,1,5
1189,Fall 2018,UMNTC,ACCT,3001,001,LEC,Intro Mgmt Acct,"Forester,Clayton L",AP,9770,Senior Lecturer,86,88,30,49,6,,,,,1,2
