,SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT
0,AAS,3001,Contmp Persp on Asian America,17,17,12,4,0,0,1,0,0,0,0
1,AAS,3503,"Asian Am Id, Families & Comm",10,10,6,4,0,0,0,0,0,0,0
2,AAS,3601W,War & Empire: Asian Amer Persp,11,15,6,2,1,0,1,0,0,1,4
3,ABUS,3051,Career Skills in Pro Envrnmt,80,83,70,7,0,0,2,0,0,1,3
4,ABUS,3301,Intro to Quality Management,50,54,25,14,7,0,0,0,0,4,4
5,ABUS,3510,Virtual Global Communication,24,25,15,4,2,0,0,0,0,3,1
6,ABUS,4012,DecisionMaking&ProblemSolving,29,32,19,7,2,1,0,0,0,0,3
7,ABUS,4013W,"Law, Ethics, &  Risk for Mgrs",70,70,48,8,6,4,0,0,0,4,0
8,ABUS,4022W,Management in Organizations,102,104,69,19,4,1,0,0,0,9,2
9,ABUS,4023W,Communicating for Results,81,86,54,16,5,0,0,0,0,6,5
10,ABUS,4041,Dynamics of Leadership,63,65,34,23,4,2,0,0,0,0,2
11,ABUS,4043,Project Management in Practice,26,28,15,5,2,1,0,0,0,3,2
12,ABUS,4101,Accounting&Finance for Mgrs,32,32,9,12,6,0,0,0,0,5,0
13,ABUS,4104,Management and Human Resource,35,35,26,6,2,0,0,0,0,1,0
14,ABUS,4151,Innovation for Leaders & Orgs.,57,60,26,22,7,1,0,0,0,1,3
15,ABUS,4217,Real Estate Process & Tools,26,28,5,15,6,0,0,0,0,0,2
16,ABUS,4501,Small Bsns Building & Running,15,15,13,2,0,0,0,0,0,0,0
17,ABUS,4515,Strat/Mgmt Sustainable Future,21,24,12,5,2,1,0,0,0,1,3
18,ABUS,4571W,Grant Writ Health & Nonprofit,13,17,5,5,2,0,0,0,0,1,4
19,ABUS,4701,Introduction to Marketing,22,22,17,5,0,0,0,0,0,0,0
20,ABUS,4702,Applied Digital Marketing,20,21,8,8,4,0,0,0,0,0,1
21,ABUS,4705,Leadership & Mgmt Prof Pract,11,13,7,2,2,0,0,0,0,0,2
22,ACCT,2050,Intr Financial Rptg,737,761,321,320,80,6,0,0,0,10,24
23,ACCT,2050H,Honors:  Intr Financial Rptg,25,26,19,6,0,0,0,0,0,0,1
24,ACCT,3001,Intro Mgmt Acct,320,342,93,148,59,14,0,0,0,6,22
25,ACCT,5101,Intermediate Accounting I,218,234,74,103,38,2,0,0,0,1,16
26,ACCT,5102,Intermediate Accounting II,137,139,64,54,16,1,0,0,0,2,2
27,ACCT,5125W,Auditing,73,77,43,29,0,1,0,0,0,0,4
28,ACCT,5126,Internal Auditing,36,36,19,12,5,0,0,0,0,0,0
29,ACCT,5135,Federal Income Tax,101,105,55,45,1,0,0,0,0,0,4
30,ACCT,5160,Financial Statement,129,130,110,18,1,0,0,0,0,0,1
31,ACCT,5201,Intermed Mgmt Acct,69,69,33,36,0,0,0,0,0,0,0
32,ACCT,5236,Taxation of Business,28,29,11,17,0,0,0,0,0,0,1
33,ACCT,6100,Financial Statement Analysis,13,13,12,1,0,0,0,0,0,0,0
34,ACCT,6601,Internal Control,38,38,14,24,0,0,0,0,0,0,0
35,ACCT,6602,SEC - Standard Setting,42,42,23,19,0,0,0,0,0,0,0
36,ACCT,6604,Advanced Management Accounting,18,18,16,2,0,0,0,0,0,0,0
37,ADDS,5011,Found. in Addiction Studies,23,23,16,7,0,0,0,0,0,0,0
38,ADDS,5021,Intro to Evidence Based Pract.,13,15,9,3,0,1,0,0,0,0,2
39,ADES,1221,Apparel Assembly,16,19,9,5,1,1,0,0,0,0,3
40,ADES,2213,Textile Analysis,54,54,10,21,17,4,0,0,0,2,0
41,ADES,2222,Apparel Studio II,19,19,12,6,1,0,0,0,0,0,0
42,ADES,3217,Fashion: Trends & Comm,45,47,22,17,4,1,0,0,0,1,2
43,ADES,3227,Technical Design Studio,14,14,3,9,2,0,0,0,0,0,0
44,ADES,4218W,"Fashion, Dsgn, Global Industry",37,38,18,14,2,1,0,0,0,2,1
45,ADES,4225,Apparel Studio V,11,12,7,4,0,0,0,0,0,0,1
46,AEM,2011,Statics,89,96,34,22,25,3,0,0,0,5,7
47,AEM,2012,Dynamics,32,34,13,16,3,0,0,0,0,0,2
48,AEM,2021,Statics & Dynamics,147,149,55,63,26,1,0,0,0,2,2
49,AEM,3031,Deform. Body Mech.,134,144,40,50,39,4,0,0,0,1,10
50,AEM,3101,Simulation,77,79,59,15,2,0,0,0,0,1,2
51,AEM,4201,Fluid Mechanics,75,78,26,41,7,1,0,0,0,0,3
52,AEM,4253,Comp Fluids,27,29,11,11,5,0,0,0,0,0,2
53,AEM,4321,Automatic Control Systems,13,17,5,5,3,0,0,0,0,0,4
54,AEM,4331,Aerospace Vehicle Design,166,166,164,2,0,0,0,0,0,0,0
55,AEM,4602W,Aeromechanics Lab,172,172,56,78,32,2,0,0,0,4,0
56,AEM,5253,Comp Fluids,28,28,15,9,4,0,0,0,0,0,0
57,AEM,5401,Interm. Dynamics,18,19,8,6,3,1,0,0,0,0,1
58,AEM,5501,Continuum Mechanics,28,29,14,14,0,0,0,0,0,0,1
59,AEM,8201,Fluids I,23,23,17,5,1,0,0,0,0,0,0
60,AEM,8251,Volume Methods,10,11,7,2,0,0,1,0,0,0,1
61,AFEE,1001,"Intro to Ag Ed, Comm, & Mktg",32,32,28,2,2,0,0,0,0,0,0
62,AFEE,2096,"Career Exploration, Experience",18,18,13,4,1,0,0,0,0,0,0
63,AFEE,2421,Communication for Ag,92,94,50,31,7,1,0,0,0,3,2
64,AFEE,3096,Exper Learning: Prod/Business,17,17,15,2,0,0,0,0,0,0,0
65,AFEE,3112,Building Construct Technology,10,10,5,4,1,0,0,0,0,0,0
66,AFEE,3480,Topics in Ag Education,25,25,21,2,2,0,0,0,0,0,0
67,AFEE,4450W,Adv Writing and Ag Journalism,24,24,21,1,2,0,0,0,0,0,0
68,AFRO,1021,Introduction to Africa,25,27,13,9,1,0,2,0,0,0,2
69,AFRO,1911,Black Reality Television,19,20,17,2,0,0,0,0,0,0,1
70,AFRO,1917,Inequality & American Dream,19,20,16,2,1,0,0,0,0,0,1
71,AFRO,3125W,Black Visions of Liberation,19,22,10,8,0,0,0,0,0,1,3
72,AFRO,3251W,"Race, Class & Gender",22,24,4,14,4,0,0,0,0,0,2
73,AFRO,3301,Black American Music,25,25,19,4,0,0,2,0,0,0,0
74,AFRO,3578,Arts of Africa,10,11,2,6,1,0,0,0,0,1,1
75,AFRO,3597W,African American Literature I,12,14,3,6,3,0,0,0,0,0,2
76,AFRO,3864,Afro-Am History: 1619 to 1865,21,24,14,6,0,0,1,0,0,0,3
77,AFRO,3866,Civil Rights & Black Power Mvt,45,46,31,8,1,0,2,0,0,3,1
78,AFRO,4105,Ways of Knowing: Black Worlds,15,15,9,6,0,0,0,0,0,0,0
79,AGRO,1103,"Crops, Environment & Society",60,62,21,21,11,4,0,0,0,3,2
80,AGRO,1660W,First-Year Colloquium,24,32,4,11,4,0,0,0,0,5,8
81,AGRO,4096W,Professional Exp Internship,13,13,8,5,0,0,0,0,0,0,0
82,AGRO,4605,Strategies for Ag Prod & Mgmt,11,11,10,1,0,0,0,0,0,0,0
83,AGRO,5021,Plant Breeding Principles,20,20,9,8,1,1,0,0,0,1,0
84,AGRO,8241,Chromosomal & Molec Genetics,13,13,7,5,0,0,1,0,0,0,0
85,AHS,1101,Orientation to Health Careers,125,127,107,11,2,1,4,0,0,0,2
86,AHS,1102,Orientation to Health Careers,80,81,69,3,2,0,3,0,0,3,1
87,AHS,1600,The Future Physician I,584,588,440,92,28,14,0,0,0,10,4
88,AHS,1602,The Future Physician III,40,40,28,2,6,0,2,0,0,2,0
89,AHS,2400,Writing a Personal Statement,44,46,0,0,0,0,44,0,0,0,2
90,AIR,1000,Leadership Laboratory,81,86,0,0,0,0,81,0,0,0,5
91,AIR,1104,Heritage & Values US Air Force,36,37,33,1,2,0,0,0,0,0,1
92,ALL,1001,Asian Film and Animation,49,51,20,18,3,0,6,0,0,2,2
93,ALL,3001,Reading Asian Cultures,77,77,59,15,1,0,0,0,0,2,0
94,ALL,3336,Revol & Modern Chinese Lit,67,70,44,21,1,0,0,0,0,1,3
95,ALL,3356W,Chinese Film,54,55,38,13,3,0,0,0,0,0,1
96,ALL,3362,Women Writers Chinese History,19,19,18,1,0,0,0,0,0,0,0
97,ALL,3377,Buddhism in China,46,47,41,4,0,0,1,0,0,0,1
98,ALL,3441,Japanese Theater,40,42,28,11,1,0,0,0,0,0,2
99,ALL,3456,Japanese Film,66,72,47,14,1,0,4,0,0,0,6
100,ALL,3467,"Science Fiction, Empire, Japan",26,28,12,9,3,0,0,0,0,2,2
101,ALL,3556,Korean Film,29,31,15,7,3,0,1,0,0,3,2
102,ALL,3576,Lang & Society of Two Koreas,43,44,24,15,2,0,0,0,0,2,1
103,ALL,3651,Ghosts of India,10,11,9,0,0,0,0,0,0,1,1
104,ALL,3820,Topics in Arab Culture,13,13,8,3,2,0,0,0,0,0,0
105,ALL,3867,Orientalism and the Arab World,20,20,14,4,0,0,0,0,0,2,0
106,AMIN,1002,Indigenous Peoples Global Pers,58,62,16,26,12,0,0,0,0,4,4
107,AMIN,1003,American Indians in MN,227,231,180,41,3,3,0,0,0,0,4
108,AMIN,3201W,American Indian Literature,62,65,46,13,2,0,0,0,0,1,3
109,AMIN,3301,American Indian Philosophies,17,19,5,12,0,0,0,0,0,0,2
110,AMIN,3312,AmIn Envl Issues/Perspectives,19,20,18,0,0,0,1,0,0,0,1
111,AMIN,3402,Am In and the Cinema,22,23,8,11,2,1,0,0,0,0,1
112,AMST,1401,Comparative Gender/Sexuality,33,35,31,0,0,0,2,0,0,0,2
113,AMST,1911,Asian Americans and Food,20,20,18,2,0,0,0,0,0,0,0
114,AMST,2011,U. S. since September 11th,207,215,153,23,7,2,15,0,1,6,8
115,AMST,2031,Chasing the American Dream,30,32,13,6,6,0,4,0,0,1,2
116,AMST,3253W,Pop cult & politics,109,111,77,21,2,1,5,0,0,3,2
117,AMST,4101,"Gender,  Politics",27,27,22,1,1,0,1,0,0,2,0
118,ANAT,3001,Human Anatomy,334,353,121,118,71,10,0,0,0,14,19
119,ANAT,6050,Gross Anatomy,110,110,61,37,8,0,0,0,0,4,0
120,ANSC,1001,Orientation to Animal Science,74,74,63,6,1,0,0,0,0,4,0
121,ANSC,1011,Animals and Society,290,298,194,57,14,3,17,0,2,3,8
122,ANSC,1101,Introductory Animal Science,100,104,46,27,21,0,0,0,0,6,4
123,ANSC,1511,Food An Products for Consumers,25,25,11,11,3,0,0,0,0,0,0
124,ANSC,1701,Historical Influence of Horse,194,200,126,15,3,3,42,0,4,1,6
125,ANSC,2055,Horse Management,59,62,39,13,2,2,2,0,0,1,3
126,ANSC,2056,Horse Mgmt Practicum,14,14,13,1,0,0,0,0,0,0,0
127,ANSC,2401,Animal Nutrition,238,250,64,112,56,6,0,0,0,0,12
128,ANSC,3011,Statistics for Animal Science,41,42,13,16,11,0,0,0,0,1,1
129,ANSC,3221,Animal Breeding,94,99,39,22,32,0,0,0,0,1,5
130,ANSC,3301,Human and Animal Physiology,87,89,46,28,10,0,0,0,0,3,2
131,ANSC,3403,Comp Anim Hot Button Issues,19,20,16,3,0,0,0,0,0,0,1
132,ANSC,4603,Beef Production Systems Mgmt,12,12,10,2,0,0,0,0,0,0,0
133,ANSC,8510,Grad Seminar,28,28,10,0,0,0,18,0,0,0,0
134,ANTH,1001,Human Evolution,405,420,88,172,77,14,37,0,3,14,15
135,ANTH,1003W,Understanding Cultures,365,389,259,54,25,9,9,0,2,7,24
136,ANTH,1914W,American Cinema & Roots Music,17,18,12,4,1,0,0,0,0,0,1
137,ANTH,1917,Inequality & American Dream,20,20,19,1,0,0,0,0,0,0,0
138,ANTH,3001,Intro  Archaeology,41,42,13,16,10,0,0,0,0,2,1
139,ANTH,3003,Cultural Anth,36,46,24,11,0,0,0,0,0,1,10
140,ANTH,3005W,"Language, Culture and Power",73,76,52,12,3,0,3,0,0,3,3
141,ANTH,3021W,Anthropology: The Middle East,44,48,30,12,2,0,0,0,0,0,4
142,ANTH,3027W,Arch. of Prehistoric Europe,29,32,10,9,2,2,2,0,0,4,3
143,ANTH,3242W,NonWestern Peoples in Movies,21,21,11,8,0,0,0,0,1,1,0
144,ANTH,3401,Human Fossil Record,16,16,6,8,1,0,0,0,0,1,0
145,ANTH,3501,Managing Museum Collections,26,26,24,2,0,0,0,0,0,0,0
146,ANTH,4025,Ethnogrphc Classics,11,11,6,5,0,0,0,0,0,0,0
147,ANTH,4035,Ethnog Rsrch Methds,12,13,6,4,0,2,0,0,0,0,1
